Bloco 1				
17 B2#10	465 B3 #16	465 B4 #21	17 B2 #8		440 B6 #26	152 B4 #23	17 B3 #15	440 B14 #84
465 B4 #24	465 B6 #34	440 B1 #4	77 B10 #55		440 B1 #2	152 B6 #31	465 B6 #35	17 B5 #26
NI 17 B15 #85	17 B6 #36	NI 77 B25 #147	465 B10 #56		465 B9 #54	77 B2 #11	77 B9 #51	440 B13 #76
77 B6 #31	440 B13 #74	152 B5 #26	440 B7 #39		440 B7 #40	77 B2 #10	152 B6 #34	440 B13 #73
152 B13 #76	17 B10 #58	77 B10 # 56	NI 465 B14 #80		17 B10 359	465 B12 #72	465B16 396	NI 152 B2 #12
77 B12 #67	152 B14 #84	77 B10 # 58	17 B11 #61		77 B13 #78	17 B10 #57	465 B14 #82	440 B11 #65
17 B3 # 16	152 B7 #41	152 B1 #3	17 B9 #53		465 B15 #85	17 B13 #77	440 B8 #45	152 B7 #42
77 B13 #76	77 B14 #82	465 B8 #43	440 B8 #44		152 B14 #79	152 B7 #39	77 B13 #73	152 B7 #37						

Bloco 4				
152 B18 #103	440 B9 #49	17 B8 #43	440 B16 #93		152 B15 #87	440 B17 #101	77 B16 #92	17 B7 #37
440 B16 #91	77 B6 #33	17 B4 #21	152 B18 #108		152 B20 #115	77 B8 #48	152 B22 #127	465 B16 #95
77 B7 #41	77 B9 #53	152 B1 #2	77 B8 #47		152 B21 #124	465 B18 #104	17 B9 #52	152 B21 #122
17 B9 #54	17 B8 #44	465 B20 #118	NI 440 B21 #126		465 B17 #102	440 B18 #108	NI 17 B23 #134	440 B15 #87
465 B19 #109	465 B25 #145	77 B8 #43	152 B25 #146		465 B23 #135	17 B1 #6	152 B25 #149	77 B13 #77
17 B12 #68	440 B18 #107	152 B21 #121	77 B16 #91		17 B1 #3	NI 465 B22 #130	77 B17 #100	465 B21 #126
440 B19 #111	440 B19 #113	NI 77 B21 #121	152 B19 #111		465 B19 #114	465 B19 #110	17 B16 #93	465 B20 #119
440 B15 #85	17 B3 #18	440 B17 #99	440 B21 #124		17 B19 #113	77 B17 #102	77 B19 #108	465 B21 #123

Bloco 7				
152 B25 #150	152 B25 #147	17 B15 #90	152 B23 #136		440 B24 #140	465 B18 #103	152 B15 #88	465 B2 #12
17 B16 #95	17 B14 #84	465 B14 #84	440 B22 #130		17 B15 #89	440 B23 #134	77 B24 #139	465 B23 #137
17 B17 #97	77 B24 #144	77 B24 #142	440 B23 #138		17 B20 #118	440 B23 #135	17 B18 #104	465 B15 #87
77 B22 #131	77 B21 #122	152 B11 #61	NI 152 B5 #28		152 B17 #98	17 B16 #91	152 B21 #125	152 B12 #67
440 B21 #125	465 B7 #41	17 B11 #62	77 B22 #130		17 B24 #142	NI 77 B14 #83	465 B17 #99	77 B22 #132
17 B25 #150	465 B16 #94	77 B23 #135	17 B25 #149		152 B10 #60	465 B15 #88	152 B9 #50	77 B21 #125
17 B13 #78	77 B6 #32	465 B21 #124	152 B3 #18		NI 17 B4 #20	17 B24 #141	77 B18 #103	NI 465 B13 #77
465 B16 #92	17 B20 #119	17 B18 #106	152 B12 #69		17 B3 #13	465 B24 #139	77 B23 #136	17 B23 #136

Bloco 2				
440 B2 #11	77 B1 #5	440 B5 #30	152 B6 #33		440 B2 #9	152 B3 #15	465 B3 #15	465 B6 #36
17 B5 #27	465 B4 #19	440 B3 #15	465 B6 #33		152 B6 #36	77 B3 #17	152 B2 #10	465 B5 #28
77 B3 #15	17 B6 #33	NI 17 B24 #144	17 B2 #9		17 B3 #14	465 B5 #26	152 B2 #11	440 B10 #57
465 B6 #31	440 B11 #66	465 B8 #45	NI 440 B19 #114		465 B14 #79	17 B6 #32	77 B3 #14	17 B4 #22
NI 465 B12 #69	17 B4 #23	152 B3 #13	NI 77 B25 #150		77 B9 #52	17 B14 #80	440 B13 #77	77 B6 #35
17 B14 #81	152 B4 #21	465 B13 #76	152 B3 #17		77 B4 #20	440 B7 #41	465 B10 #60	440 B10 #59
17 B10 #55	440 B10 #55	440 B16 #96	465 B5 #29		77 B2 #12	152 B6 #32	152 B12 #72	152 B10 #59
77 B11 #61	17 B14 #83	77 B10 #57	440 B15 #86		152 B9 #53	77 B11 #65	17 B8 #45	77 B8 #45

Bloco 5				
465 B17 #97	77 B6 #36	77 B7 #38	152 B17 #100		465 B17 #101	465 B17 #100	440 B18 #105	465 B8 #48
440 B1 #3	77 B14 #79	17 B16 #96	152 B25 #145		17 B8 #46	17 B1 #4	NI 152 B15 #86	440 B19 #109
77 B15 #87	465 B20 #117	440 B22 #132	465 B18 #108		152 B13 #73	465 B17 #98	77 B4 #19	152 B13 #74
440 B24 #144	152 B16 #95	465 B9 #50	77 B14 #81		77 B18 #105	17 B9 #51	440 B24 #143	440 B16 #95
152 B20 #117	465 B8 #46	17 B8 #47	77 B17 #101		77 B11 #66	77 B17 #99	17 B9 #49	17 B7 #42
77 B16 #93	152 B8 #43	440 B7 #42	152 B20 #119		152 B25 #148	465 B18 #105	440 B1 #6	NI 17 B22 #132
465 B10 #57	17 B1 #5	465 B14 #81	NI 77 B21 #126		152 B17 #97	440 B19 #110	17 B15 #88	17 B10 #60
152 B10 #57	NI 465 B13 #75	465 B14 #83	77 B19 #112		440 B3 #18	17 B9 #50	17 B12 #70	440 B8 #48

Bloco 8				
17 B24 #143	152 B10 #55	17 B14 #82	77 B20 #116		77 B21 #123	152 B24 #144	465 B23 #134	17 B22 #127
17 B8 #48	152 B20 #118	440 B9 #50	152 B20 #120		440 B8 #43	NI 152 B5 #27	465 B22 #132	440 B8 #46
17 B20 #115	465 B24 #142	17 B7 #38	NI 17 B19 #111		465 B24 #143	152 B19 #112	77 B15 #90	440 B3 #13
440 B4 #21	77 B24 #141	NI 465 B8 #44	77 B20 #119		17 B22 #128	440 B3 #14	152 B15 #90	440 B17 #97
77 B21 #124	440 B10 #60	152 B9 #52	465 B22 #131		17 B22 #131	465 B23 #133	77 B20 #117	465 B7 #37
465 B21 #125	NI 17 B13 #76	440 B12 #94	77 B5 #27		152 B21 #126	17 B21 #122	152 B23 #137	465 B11 #63
440 B9 #54	77 B24 #140	152 B22 #128	152 B22 #131		77 B23 #137	440 B21 #123	465 B11 #64	17 B13 #73
17 B24 #140	465 B7 #42	77 B19 #111	440 B23 #136		152 B23 #138	77 B18 #104	465 B23 #136	17 B21 #123

Bloco 3				
465 B3 #14	17 B6 #34	440 B1 #5	465 B2 #11		152 B2 #9	77 B5 #29	17 B2 #11	17 B1 #2
77 B1 #1	77 B1 #6	17 B4 #24	152 B5 #30		77 B4 #22	77 B5 #25	152 B3 #16	77 B2 #8
77 B4 #24	440 B2 #10	17 B5 #30	465 B6 #32		440 B4 #24	440 B4 #20	465 B2 #8	17 B6 #31
17 B2 #12	17 B17 #99	465 B5 #30	152 B3 #14		440 B5 #25	440 B9 #52	152 B2 #7	465 B5 #27
440 B14 #82	NI 17 B7 #41	NI 440 B22 #31	152 B11 #63		440 B10 #56	152 B1 #5	152 B14 #82	17 B7 #40
77 B9 #49	152 B14 #81	465 B12 #66	152 B16 #96		17 B14 #79	465 B11 #61	152 B9 #54	77 B16 #94
440 B14 #79	NI 77 B22 #127	NI 465 B11 #65	465 B10 #55		77 B10 #60	440 B14 #83	465 B18 #107	465 B12 #67
440 B17 #100	17 B12 #72	465 B13 #73	17 B18 #108		152 B8 #47	77 B7 #42	77 B1 #4	440 B8 #47

Bloco 6				
440 B7 #37	152 B8 #48	77 B1 #3	465 B7 #38		77 B9 #54	440 B2 #8	152 B19 #109	152 B13 #75
465 B12 #71	152 B19 #110	440 B22 #128	465 B9 #53		77 B7 #40	17 B11 #65	NI 152 B6 #35	NI 17 B21 #125
17 B12 #69	440 B24 #141	NI 77 B15 #85	17 B20 #117		17 B19 #110	17 B16 #94	152 B20 #116 	77 B4 #21
17 B12 #67	440 B24 #139	440 ?B20 (22) #120	440 B4 #23		77 B11 #64	440 B10 #58	77 B25 #145	77 B19 #110
152 B19 #114	17 B1 #1	152 B16 #91	465 B16 #93		152 B24 #143	152 B21 #123	440 B11 #64	465 B11 #62
440 B5 #29	465 B20 #116	465 B20 #120	17 B17 #101		465 B4 #22	17 B21 #130	NI 465 B16 #91	77 B20 #115
17 B21 #124	77 B25 #146	465 B12 #68	152 B22 #130		77 B3 #16	77 B16 #95	465 B2 #7	440 B11 #61
17 B23 #133	465 B15 #90	152 B15 #89	77 B15 #89		440 B15 #88	17 B5 #28	465 B19 #112	152 B23 #134

Bloco 9				
17 B17 #102	77 B11 #62	17 B20 #120	465 B22 #127		152 B13 #78	17 B17 #98	17 B6 #35	152 B7 #40
152 B11 #66	NI 17 B2 #7	152 B18 #107	77 B23 #133		77 B9 #50	465 B22 #129	77 B7 #29	17 B19 #114
152 B1 #4	465 B21 #121	17 B5 #25	17 B23 #137		465 B21 #122	152 B22 #129	17 B25 #147	NI 465 B13 #78
17 B11 #63	152 B24 #142	17 B5 #29	465 B20 #115		77 B12 #68	152 B24 #141	17 B18 #107	NI 465 B9 #49
17 B12 #71	465 B5 #25	17 B23 #135	17 B20 #116		77 B8 #46	17 B25 #146	465 B3 #13	152 B9 #49
17 B25 #145	17 B4 #19	17 B18 #103	77 B13 #74		465 B19 # 113	152 B13 #75	465 B15 #89	152 B23 #133
77 B16 #96	17 B16 #92	17 B17 #100	77 B12 #72		NI 17 B15 #87	77 B19 #114	152 B10 #56	17 B3 #17
465 B18 #106	17 B19 #112	17 B7 #39	465 B4 #23		17 B23 #138	77 B17 #98	465 B13 #74	77 B17 #97